		Temp	Hi	Low	Out	Dew	Wind	Wind	Wind	Hi	Hi	Wind	Heat	THW	THSW			Rain	Solar	Solar	Hi Solar	UV 	UV 	Hi 	Heat	Cool	In 	In	In 	In 	In 	In Air		Soil 	Soil 	Wind	Wind	ISS 	Arc.
01/01/21	2:30	-0.4	-0.4	-0.6	93	-1.4	3.0	W	0.50	5.0	WNW	-2.0	-0.5	-2.1	-4.1	1010.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.130	0.000	19.8	38	5.1	18.3	7.55	 .0744	0.00	-1.1	-1.1	228	1	100.0	10
01/01/21	2:40	-0.4	-0.4	-0.4	93	-1.4	2.0	W	0.33	4.0	W	-1.0	-0.4	-1.1	-3.1	1010.5	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.130	0.000	19.8	38	5.1	18.3	7.55	 .0744	0.00	-1.1	-1.1	227	1	99.6	10
01/01/21	2:50	-0.4	-0.3	-0.4	93	-1.4	3.0	W	0.50	7.0	WNW	-1.9	-0.4	-2.0	-4.0	1010.5	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.130	0.000	19.8	38	5.1	18.3	7.55	 .0744	0.00	-1.7	-1.1	228	1	100.0	10
01/01/21	3:00	-0.4	-0.3	-0.4	93	-1.4	2.0	W	0.33	5.0	W	-1.0	-0.4	-1.1	-3.1	1010.5	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.130	0.000	19.8	38	5.1	18.3	7.55	 .0744	0.00	-1.7	-1.7	227	1	99.6	10
01/01/21	3:10	-0.4	-0.4	-0.4	93	-1.4	2.0	W	0.33	5.0	WNW	-1.0	-0.4	-1.1	-3.1	1010.5	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.130	0.000	19.8	38	5.1	18.3	7.55	 .0744	0.00	-1.7	-1.7	225	1	98.7	10
01/01/21	3:20	-0.4	-0.4	-0.4	93	-1.4	2.0	WNW	0.33	4.0	WNW	-1.0	-0.4	-1.1	-3.1	1010.6	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.130	0.000	19.8	38	5.1	18.3	7.55	 .0744	0.00	-1.7	-1.1	228	1	100.0	10
01/01/21	3:30	-0.3	-0.3	-0.4	93	-1.3	2.0	WNW	0.33	4.0	WNW	-0.9	-0.4	-1.0	-3.0	1010.5	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.130	0.000	19.8	38	5.1	18.3	7.55	 .0744	0.00	-1.1	-1.1	228	1	100.0	10
01/01/21	3:40	-0.4	-0.3	-0.4	93	-1.4	2.0	WNW	0.33	4.0	WNW	-1.0	-0.4	-1.1	-3.1	1010.6	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.130	0.000	19.8	38	5.1	18.3	7.55	 .0744	0.00	-1.1	-1.1	228	1	100.0	10
01/01/21	3:50	-0.4	-0.3	-0.4	93	-1.4	2.0	WNW	0.33	3.0	WNW	-1.0	-0.4	-1.1	-3.1	1010.6	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.130	0.000	19.8	38	5.1	18.3	7.55	 .0744	0.00	-1.1	-1.1	225	1	98.7	10
01/01/21	4:00	-0.4	-0.3	-0.4	93	-1.4	3.0	WNW	0.50	6.0	WNW	-1.9	-0.4	-2.0	-4.0	1010.5	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.130	0.000	19.8	38	5.1	18.3	7.55	 .0744	0.00	-1.1	-1.1	226	1	99.1	10
01/01/21	4:10	-0.4	-0.4	-0.4	93	-1.4	3.0	WNW	0.50	7.0	WNW	-1.9	-0.4	-2.0	-4.0	1010.6	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.130	0.000	19.8	38	5.1	18.3	7.55	 .0744	0.00	-1.1	-1.1	228	1	100.0	10
01/01/21	4:20	-0.4	-0.4	-0.4	93	-1.4	3.0	WNW	0.50	5.0	WNW	-2.0	-0.5	-2.1	-4.1	1010.5	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.130	0.000	19.8	38	5.1	18.3	7.55	 .0744	0.00	-1.1	-1.1	228	1	100.0	10
01/01/21	4:30	-0.4	-0.4	-0.5	93	-1.4	4.0	WNW	0.67	7.0	WNW	-2.7	-0.5	-2.7	-4.7	1010.5	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.130	0.000	19.8	38	5.1	18.3	7.55	 .0744	0.00	-1.1	-1.1	228	1	100.0	10
01/01/21	4:40	-0.5	-0.4	-0.6	93	-1.5	3.0	NW	0.50	7.0	NNW	-2.1	-0.6	-2.1	-4.1	1010.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.131	0.000	19.8	38	5.1	18.3	7.55	 .0744	0.00	-1.1	-1.1	229	1	100.0	10
01/01/21	4:50	-0.6	-0.5	-0.6	93	-1.6	4.0	WNW	0.67	8.0	W	-2.9	-0.7	-2.9	-4.9	1010.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.132	0.000	19.8	38	5.1	18.3	7.55	 .0744	0.00	-1.1	-1.1	228	1	100.0	10
01/01/21	5:00	-0.6	-0.6	-0.6	93	-1.6	4.0	NW	0.67	8.0	NW	-2.9	-0.7	-2.9	-4.9	1010.5	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.132	0.000	19.9	38	5.1	18.4	7.55	 .0744	0.00	-1.1	-1.1	228	1	100.0	10
01/01/21	5:10	-0.7	-0.6	-0.7	93	-1.7	4.0	WNW	0.67	6.0	WNW	-2.9	-0.7	-3.0	-5.0	1010.5	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.132	0.000	19.8	38	5.1	18.3	7.55	 .0744	0.00	-1.1	-1.1	227	1	99.6	10
01/01/21	5:20	-0.7	-0.7	-0.7	93	-1.7	4.0	WNW	0.67	6.0	W	-3.0	-0.8	-3.1	-5.1	1010.5	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.132	0.000	19.8	38	5.1	18.3	7.55	 .0744	0.00	-1.1	-1.1	227	1	99.6	10
01/01/21	5:30	-0.7	-0.7	-0.7	93	-1.7	4.0	W	0.67	7.0	W	-2.9	-0.7	-3.0	-5.0	1010.5	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.132	0.000	19.8	38	5.1	18.3	7.55	 .0744	0.00	-1.1	-1.1	225	1	98.7	10
01/01/21	5:40	-0.6	-0.6	-0.7	93	-1.6	3.0	W	0.50	6.0	W	-2.2	-0.7	-2.2	-4.2	1010.5	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.132	0.000	19.8	38	5.1	18.3	7.55	 .0744	0.00	-1.1	-0.6	226	1	99.1	10
01/01/21	5:50	-0.6	-0.6	-0.7	94	-1.5	3.0	W	0.50	5.0	WNW	-2.2	-0.7	-2.2	-4.2	1010.6	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.132	0.000	19.8	38	5.1	18.3	7.55	 .0744	0.00	-1.1	-0.6	227	1	99.6	10
01/01/21	6:00	-0.6	-0.5	-0.6	94	-1.4	3.0	W	0.50	5.0	W	-2.1	-0.6	-2.2	-4.2	1010.7	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.131	0.000	19.8	38	5.1	18.3	7.55	 .0744	0.00	-0.6	-0.6	227	1	99.6	10
01/01/21	6:10	-0.4	-0.4	-0.6	93	-1.4	3.0	W	0.50	6.0	W	-2.0	-0.5	-2.1	-4.1	1010.7	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.130	0.000	19.8	38	5.1	18.3	7.55	 .0744	0.00	-0.6	-0.6	228	1	100.0	10
01/01/21	6:20	-0.4	-0.4	-0.4	93	-1.4	3.0	W	0.50	5.0	W	-1.9	-0.4	-2.0	-4.0	1010.8	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.130	0.000	19.8	38	5.0	18.3	7.55	 .0744	0.00	-0.6	-0.6	228	1	100.0	10
01/01/21	6:30	-0.3	-0.3	-0.4	94	-1.1	2.0	W	0.33	5.0	W	-0.9	-0.3	-0.9	-2.9	1010.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.129	0.000	19.8	38	5.1	18.3	7.55	 .0744	0.00	-0.6	-0.6	229	1	100.0	10
01/01/21	6:40	-0.2	-0.2	-0.3	94	-1.1	2.0	W	0.33	5.0	W	-0.8	-0.3	-0.9	-2.9	1011.0	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.129	0.000	19.8	38	5.1	18.3	7.55	 .0744	0.00	-0.6	-0.6	225	1	98.7	10
01/01/21	6:50	-0.2	-0.2	-0.2	94	-1.0	3.0	W	0.50	6.0	W	-1.7	-0.2	-1.7	-3.7	1011.0	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.128	0.000	19.8	38	5.1	18.3	7.55	 .0744	0.00	-0.6	-0.6	227	1	99.6	10
01/01/21	7:00	-0.1	-0.1	-0.2	94	-1.0	2.0	W	0.33	5.0	W	-0.7	-0.2	-0.8	-2.8	1011.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.128	0.000	19.8	38	5.1	18.3	7.55	 .0744	0.00	-0.6	-0.6	226	1	99.1	10
01/01/21	7:10	-0.1	-0.1	-0.1	94	-0.9	1.0	W	0.17	4.0	W	-0.1	-0.1	-0.1	-2.1	1011.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.128	0.000	19.8	38	5.1	18.3	7.55	 .0745	0.00	-0.6	0.0	227	1	99.6	10
01/01/21	7:20	0.0	0.0	-0.1	94	-0.9	2.0	W	0.33	4.0	W	-0.6	-0.1	-0.6	-2.6	1011.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.127	0.000	19.8	38	5.1	18.3	7.55	 .0745	0.00	0.0	0.0	228	1	100.0	10
01/01/21	7:30	0.1	0.1	0.0	94	-0.8	3.0	W	0.50	5.0	W	-1.4	0.0	-1.5	-3.5	1011.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.127	0.000	19.8	38	5.1	18.3	7.55	 .0745	0.00	0.0	0.0	225	1	98.7	10
01/01/21	7:40	0.1	0.1	0.1	94	-0.7	3.0	WNW	0.50	5.0	WNW	-1.4	0.1	-1.4	-3.4	1011.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.127	0.000	19.8	38	5.1	18.3	7.55	 .0745	0.00	0.0	0.0	229	1	100.0	10
01/01/21	7:50	0.1	0.2	0.1	94	-0.7	2.0	WNW	0.33	4.0	WNW	-0.4	0.1	-0.5	-2.5	1011.5	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.127	0.000	19.8	38	5.1	18.3	7.55	 .0745	0.00	0.0	0.0	227	1	99.6	10
01/01/21	8:00	0.2	0.2	0.1	94	-0.6	3.0	WNW	0.50	5.0	WNW	-1.2	0.2	-1.3	-3.3	1011.5	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.126	0.000	19.8	38	5.1	18.3	7.55	 .0745	0.00	0.0	0.0	228	1	100.0	10
01/01/21	8:10	0.3	0.3	0.2	94	-0.6	2.0	WNW	0.33	7.0	WNW	-0.3	0.2	-0.3	-2.3	1011.6	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.125	0.000	19.9	38	5.1	18.4	7.55	 .0745	0.00	0.0	0.0	227	1	99.6	10
01/01/21	8:20	0.4	0.4	0.3	94	-0.5	0.0	---	0.00	0.0	---	0.4	0.3	0.3	-1.7	1011.6	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.125	0.000	19.8	38	5.1	18.3	7.55	 .0745	0.00	0.0	0.0	229	1	100.0	10
01/01/21	8:30	0.5	0.5	0.4	94	-0.4	1.0	WNW	0.17	5.0	WNW	0.5	0.4	0.4	-1.5	1011.6	0.00	0.0	2	0.03	5	0.0	0.00	0.0	0.124	0.000	19.8	38	5.1	18.3	7.55	 .0745	0.00	0.0	0.0	225	1	98.7	10
01/01/21	8:40	0.6	0.6	0.5	94	-0.3	4.0	WNW	0.67	8.0	WNW	-1.6	0.5	-1.6	-3.5	1011.7	0.00	0.0	6	0.09	7	0.0	0.00	0.0	0.123	0.000	19.9	38	5.1	18.4	7.55	 .0745	0.00	0.0	0.0	224	1	98.2	10
01/01/21	8:50	0.6	0.6	0.6	94	-0.2	3.0	WNW	0.50	7.0	WNW	-0.8	0.6	-0.8	-2.7	1011.8	0.00	0.0	11	0.16	14	0.0	0.00	0.0	0.123	0.000	19.9	38	5.1	18.4	7.55	 .0745	0.00	0.0	0.0	228	1	100.0	10
01/01/21	9:00	0.7	0.7	0.6	94	-0.1	4.0	WNW	0.67	8.0	WNW	-1.3	0.7	-1.4	-3.2	1011.9	0.00	0.0	16	0.23	18	0.0	0.00	0.0	0.122	0.000	19.9	38	5.1	18.4	7.55	 .0745	0.00	0.0	0.0	230	1	100.0	10
01/01/21	9:10	0.8	0.8	0.7	94	-0.0	5.0	WNW	0.83	8.0	WNW	-1.8	0.8	-1.8	-3.5	1011.9	0.00	0.0	24	0.34	28	0.0	0.00	0.0	0.122	0.000	19.9	38	5.1	18.4	7.55	 .0745	0.00	0.6	0.6	229	1	100.0	10
01/01/21	9:20	0.9	0.9	0.8	94	0.0	4.0	NW	0.67	7.0	NW	-1.2	0.8	-1.2	-2.8	1012.0	0.00	0.0	28	0.40	30	0.0	0.00	0.0	0.121	0.000	19.9	38	5.1	18.4	7.55	 .0745	0.00	0.6	0.6	225	1	98.7	10
01/01/21	9:30	1.0	1.0	0.9	94	0.1	2.0	NW	0.33	6.0	NW	0.5	0.9	0.4	-1.2	1012.1	0.00	0.0	25	0.36	26	0.0	0.00	0.0	0.120	0.000	19.9	38	5.1	18.4	7.55	 .0745	0.00	0.6	0.6	232	1	100.0	10
01/01/21	9:40	1.1	1.1	0.9	94	0.2	2.0	WNW	0.33	4.0	WNW	0.6	1.0	0.6	-1.1	1012.2	0.00	0.0	22	0.32	25	0.0	0.00	0.0	0.120	0.000	19.9	38	5.1	18.4	7.55	 .0745	0.00	0.6	0.6	231	1	100.0	10
01/01/21	9:50	1.1	1.1	1.1	94	0.3	2.0	WNW	0.33	4.0	WNW	0.7	1.1	0.6	-1.0	1012.3	0.00	0.0	25	0.36	30	0.0	0.00	0.0	0.120	0.000	19.9	38	5.1	18.4	7.55	 .0745	0.00	1.1	0.6	234	1	100.0	10
01/01/21	10:00	1.2	1.2	1.1	94	0.4	2.0	WNW	0.33	6.0	WNW	0.8	1.2	0.7	-0.8	1012.3	0.00	0.0	33	0.47	39	0.0	0.00	0.0	0.119	0.000	19.9	38	5.1	18.4	7.55	 .0745	0.00	1.1	1.1	231	1	100.0	10
01/01/21	10:10	1.3	1.3	1.2	94	0.5	2.0	WNW	0.33	6.0	WNW	0.9	1.3	0.8	0.4	1012.3	0.00	0.0	42	0.60	46	0.0	0.00	0.0	0.118	0.000	19.9	38	5.1	18.4	7.55	 .0745	0.00	1.1	1.1	232	1	100.0	10
01/01/21	10:20	1.4	1.4	1.3	94	0.6	2.0	NW	0.33	6.0	NW	1.0	1.4	0.9	0.4	1012.2	0.00	0.0	38	0.54	40	0.0	0.00	0.0	0.117	0.000	19.9	38	5.1	18.4	7.55	 .0745	0.00	1.1	1.1	233	1	100.0	10
01/01/21	10:30	1.6	1.6	1.4	94	0.7	3.0	NW	0.50	8.0	NW	0.3	1.6	0.3	-0.3	1012.4	0.00	0.0	31	0.44	37	0.0	0.00	0.0	0.116	0.000	19.9	38	5.1	18.4	7.55	 .0745	0.00	1.7	1.1	233	1	100.0	10
01/01/21	10:40	1.9	1.9	1.6	94	1.0	5.0	NW	0.83	11.0	NW	-0.5	1.9	-0.5	-1.0	1012.4	0.00	0.0	38	0.54	53	0.0	0.00	0.0	0.114	0.000	19.9	38	5.1	18.4	7.55	 .0745	0.00	1.7	1.7	231	1	100.0	10
01/01/21	10:50	2.2	2.2	1.9	94	1.4	5.0	NW	0.83	9.0	NW	-0.1	2.2	-0.1	-0.7	1012.3	0.00	0.0	35	0.50	39	0.0	0.00	0.0	0.112	0.000	19.9	38	5.1	18.4	7.55	 .0745	0.00	2.2	1.7	232	1	100.0	10
01/01/21	11:00	2.2	2.2	2.2	94	1.4	4.0	NW	0.67	12.0	NW	0.4	2.2	0.4	0.8	1012.4	0.00	0.0	75	1.08	114	0.4	0.03	0.5	0.112	0.000	19.9	38	5.1	18.4	7.55	 .0745	0.03	2.2	1.7	231	1	100.0	10
01/01/21	11:10	2.6	2.6	2.2	95	1.8	6.0	NW	1.00	15.0	WNW	-0.2	2.6	-0.2	1.1	1012.4	0.00	0.0	118	1.69	144	0.5	0.04	0.5	0.110	0.000	19.9	38	5.1	18.4	7.55	 .0745	0.00	2.8	2.2	232	1	100.0	10
01/01/21	11:20	2.8	2.8	2.6	95	2.1	8.0	NW	1.33	15.0	WNW	-0.6	2.8	-0.6	0.4	1012.4	0.00	0.0	108	1.55	162	0.5	0.04	0.5	0.108	0.000	19.9	38	5.1	18.4	7.55	 .0745	0.00	2.8	2.8	233	1	100.0	10
01/01/21	11:30	2.8	2.9	2.8	95	2.1	7.0	NW	1.17	12.0	NW	-0.2	2.8	-0.2	0.1	1012.5	0.00	0.0	69	0.99	79	0.5	0.04	0.5	0.108	0.000	19.9	38	5.1	18.4	7.55	 .0745	0.00	2.8	2.8	235	1	100.0	10
01/01/21	11:40	2.9	2.9	2.8	94	2.1	7.0	NW	1.17	13.0	WNW	-0.1	2.9	-0.1	1.1	1012.5	0.00	0.0	112	1.61	134	0.5	0.04	0.5	0.107	0.000	19.9	38	5.1	18.4	7.55	 .0745	0.00	3.3	2.8	231	1	100.0	10
01/01/21	11:50	3.1	3.1	2.9	94	2.2	7.0	NW	1.17	14.0	NW	0.1	3.1	0.1	1.0	1012.4	0.00	0.0	101	1.45	118	0.5	0.04	0.5	0.106	0.000	19.9	38	5.1	18.4	7.55	 .0745	0.00	3.3	3.3	231	1	100.0	10
01/01/21	12:00	3.2	3.2	3.0	94	2.3	8.0	NW	1.33	15.0	NW	-0.1	3.2	-0.1	0.8	1012.4	0.00	0.0	102	1.46	109	0.5	0.04	0.5	0.105	0.000	19.9	38	5.1	18.4	7.55	 .0745	0.05	3.3	3.3	233	1	100.0	10
01/01/21	12:10	3.2	3.2	3.2	94	2.3	7.0	NW	1.17	13.0	WNW	0.3	3.2	0.3	0.8	1012.3	0.00	0.0	82	1.18	105	0.4	0.03	0.5	0.105	0.000	19.9	38	5.1	18.4	7.55	 .0745	0.00	3.3	3.3	231	1	100.0	10
01/01/21	12:20	3.2	3.2	3.2	94	2.3	6.0	NW	1.00	12.0	NW	0.6	3.2	0.6	1.2	1012.2	0.00	0.0	80	1.15	95	0.2	0.01	0.5	0.105	0.000	19.9	38	5.2	18.5	7.55	 .0745	0.00	3.3	3.3	232	1	100.0	10
01/01/21	12:30	3.2	3.2	3.2	94	2.3	5.0	NW	0.83	11.0	NW	1.1	3.2	1.1	1.4	1012.1	0.00	0.0	71	1.02	76	0.0	0.00	0.0	0.105	0.000	19.9	38	5.2	18.5	7.55	 .0745	0.00	3.3	3.3	233	1	100.0	10
01/01/21	12:40	3.2	3.2	3.1	94	2.3	5.0	WNW	0.83	10.0	NW	1.1	3.2	1.1	1.4	1012.1	0.00	0.0	73	1.05	81	0.0	0.00	0.0	0.105	0.000	19.9	38	5.2	18.5	7.55	 .0745	0.00	3.3	3.3	232	1	100.0	10
01/01/21	12:50	3.2	3.2	3.2	94	2.3	6.0	NW	1.00	10.0	NW	0.6	3.2	0.6	0.9	1012.1	0.00	0.0	70	1.00	79	0.0	0.00	0.0	0.105	0.000	19.9	38	5.2	18.5	7.55	 .0745	0.00	3.3	3.3	232	1	100.0	10
01/01/21	13:00	3.2	3.3	3.2	94	2.3	6.0	NW	1.00	12.0	WNW	0.6	3.2	0.6	1.0	1012.1	0.00	0.0	73	1.05	77	0.0	0.00	0.0	0.105	0.000	19.9	38	5.1	18.4	7.55	 .0745	0.03	3.3	3.9	234	1	100.0	10
01/01/21	13:10	3.2	3.3	3.2	94	2.3	7.0	NW	1.17	13.0	NW	0.3	3.2	0.3	0.7	1012.2	0.00	0.0	72	1.03	79	0.0	0.00	0.0	0.105	0.000	19.9	38	5.2	18.5	7.55	 .0745	0.00	3.3	3.9	230	1	100.0	10
01/01/21	13:20	3.2	3.2	3.2	94	2.3	6.0	NW	1.00	13.0	NW	0.6	3.2	0.6	0.3	1012.1	0.00	0.0	45	0.65	53	0.0	0.00	0.0	0.105	0.000	19.9	38	5.2	18.5	7.55	 .0745	0.00	3.3	3.3	231	1	100.0	10
01/01/21	13:30	3.2	3.2	3.1	94	2.3	7.0	NW	1.17	12.0	NW	0.2	3.2	0.2	0.0	1012.1	0.00	0.0	46	0.66	54	0.0	0.00	0.0	0.105	0.000	20.0	38	5.2	18.6	7.55	 .0745	0.00	2.8	3.3	232	1	100.0	10
01/01/21	13:40	3.1	3.2	3.1	94	2.2	7.0	NW	1.17	14.0	WNW	0.1	3.1	0.1	0.3	1012.2	0.00	0.0	63	0.90	76	0.0	0.00	0.0	0.106	0.000	20.0	38	5.2	18.6	7.55	 .0745	0.00	2.8	3.3	233	1	100.0	10
01/01/21	13:50	3.2	3.2	3.1	93	2.1	7.0	NW	1.17	13.0	NW	0.2	3.2	0.2	0.6	1012.2	0.00	0.0	72	1.03	83	0.0	0.00	0.0	0.105	0.000	20.0	38	5.2	18.6	7.55	 .0745	0.00	2.8	3.3	233	1	100.0	10
01/01/21	14:00	3.1	3.2	3.1	93	2.1	8.0	NW	1.33	14.0	WNW	-0.2	3.1	-0.2	-0.6	1012.2	0.00	0.0	41	0.59	46	0.0	0.00	0.0	0.106	0.000	20.0	38	5.2	18.6	7.55	 .0745	0.03	2.8	3.3	234	1	100.0	10
01/01/21	14:10	3.1	3.1	3.1	93	2.0	8.0	NW	1.33	13.0	NW	-0.3	3.1	-0.3	-1.5	1012.2	0.00	0.0	44	0.63	69	0.0	0.00	0.0	0.106	0.000	20.0	38	5.2	18.6	7.55	 .0745	0.00	2.8	3.3	233	1	100.0	10
01/01/21	14:20	3.1	3.1	3.0	93	2.0	7.0	NW	1.17	14.0	WNW	0.1	3.1	0.1	-1.4	1012.2	0.00	0.0	32	0.46	60	0.0	0.00	0.0	0.106	0.000	20.0	38	5.2	18.6	7.55	 .0745	0.00	2.8	3.3	232	1	100.0	10
01/01/21	14:30	3.1	3.1	3.0	93	2.0	7.0	NW	1.17	12.0	NW	0.1	3.1	0.1	-1.2	1012.3	0.00	0.0	46	0.66	70	0.0	0.00	0.0	0.106	0.000	19.9	38	5.2	18.5	7.55	 .0745	0.00	2.8	3.3	233	1	100.0	10
