		Temp	Hi	Low	Out	Dew	Wind	Wind	Wind	Hi	Hi	Wind	Heat	THW	THSW			Rain	Solar	Solar	Hi Solar	UV 	UV 	Hi 	Heat	Cool	In 	In	In 	In 	In 	In Air		Soil 	Soil 	Wind	Wind	ISS 	Arc.
Date	Time	Out	Temp	Temp	Hum	Pt.	Speed	Dir	Run	Speed	Dir	Chill	Index	Index	Index	Bar  	Rain	Rate	Rad.	Energy	Rad. 	Index	Dose	UV 	D-D 	D-D 	Temp	Hum	Dew	Heat	EMC	Density	ET 	Temp 1	Temp 2	Samp	Tx 	Recept	Int.
01/01/21	0:10	-0.6	-0.6	-0.7	93	-1.6	2.0	WNW	0.33	4.0	WNW	-1.2	-0.7	-1.3	-3.3	1009.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.132	0.000	19.9	38	5.1	18.4	7.55	 .0743	0.00	-2.8	-2.2	174	1	76.3	10
01/01/21	0:20	-0.7	-0.6	-0.7	93	-1.7	1.0	WNW	0.17	4.0	WNW	-0.7	-0.7	-0.7	-2.7	1009.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.132	0.000	19.9	38	5.1	18.4	7.55	 .0743	0.00	-3.3	-2.8	226	1	99.1	10
01/01/21	0:30	-0.8	-0.7	-0.8	93	-1.8	2.0	WNW	0.33	4.0	WNW	-1.4	-0.8	-1.5	-3.5	1010.0	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.133	0.000	19.9	38	5.1	18.4	7.55	 .0743	0.00	-2.8	-2.8	227	1	99.6	10
01/01/21	0:40	-0.9	-0.8	-0.9	93	-1.9	3.0	WNW	0.50	6.0	NW	-2.6	-1.0	-2.6	-4.6	1010.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.134	0.000	19.9	38	5.1	18.4	7.55	 .0743	0.00	-2.8	-2.8	226	1	99.1	10
01/01/21	0:50	-1.1	-0.9	-1.1	93	-2.1	3.0	WNW	0.50	5.0	WNW	-2.7	-1.2	-2.8	-4.8	1010.0	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.135	0.000	19.9	38	5.1	18.4	7.55	 .0743	0.00	-2.2	-2.2	228	1	100.0	10
01/01/21	1:00	-1.1	-1.1	-1.2	93	-2.1	3.0	WNW	0.50	6.0	WNW	-2.7	-1.2	-2.8	-4.8	1010.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.135	0.000	19.9	38	5.1	18.4	7.55	 .0743	0.00	-1.7	-1.7	227	1	99.6	10
01/01/21	1:10	-1.1	-1.1	-1.2	93	-2.1	7.0	WNW	1.17	13.0	WNW	-4.9	-1.2	-5.0	-7.0	1010.0	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.135	0.000	19.9	38	5.1	18.4	7.55	 .0743	0.00	-1.7	-1.7	227	1	99.6	10
01/01/21	1:20	-1.0	-1.0	-1.1	93	-2.0	5.0	NW	0.83	9.0	WNW	-3.9	-1.1	-3.9	-5.9	1010.0	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.134	0.000	19.9	38	5.1	18.4	7.55	 .0743	0.00	-1.1	-1.1	226	1	99.1	10
01/01/21	1:30	-0.8	-0.8	-1.0	93	-1.8	4.0	NW	0.67	8.0	WNW	-3.2	-0.9	-3.2	-5.2	1010.0	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.133	0.000	19.9	38	5.1	18.4	7.55	 .0743	0.00	-1.1	-1.1	224	1	98.2	10
01/01/21	1:40	-0.8	-0.7	-0.9	93	-1.8	4.0	NW	0.67	7.0	WNW	-3.1	-0.8	-3.1	-5.1	1010.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.133	0.000	19.9	38	5.1	18.4	7.55	 .0744	0.00	-1.1	-1.1	228	1	100.0	10
01/01/21	1:50	-0.7	-0.7	-0.8	93	-1.7	4.0	NW	0.67	6.0	NW	-2.9	-0.7	-3.0	-5.0	1010.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.132	0.000	19.9	38	5.1	18.4	7.55	 .0744	0.00	-1.1	-1.1	225	1	98.7	10
01/01/21	2:00	-0.7	-0.7	-0.7	93	-1.7	3.0	NW	0.50	7.0	NW	-2.2	-0.7	-2.3	-4.3	1010.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.132	0.000	19.9	38	5.1	18.4	7.55	 .0744	0.00	-1.1	-1.1	227	1	99.6	10
01/01/21	2:10	-0.6	-0.6	-0.7	93	-1.6	2.0	WNW	0.33	6.0	WNW	-1.2	-0.7	-1.3	-3.3	1010.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.132	0.000	19.9	38	5.1	18.4	7.55	 .0744	0.00	-1.1	-1.1	227	1	99.6	10
01/01/21	2:20	-0.6	-0.6	-0.6	93	-1.5	2.0	WNW	0.33	5.0	WNW	-1.2	-0.6	-1.2	-3.2	1010.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.131	0.000	19.8	38	5.1	18.3	7.55	 .0744	0.00	-1.1	-1.1	224	1	98.2	10
